Season,Age,Team,Lg,Pos,G,MP, ,FG_player Shooting %,2P_player Shooting %,3P_player Shooting %,eFG_player Shooting %,FT_player Shooting %,TS_player Shooting %,FTr_player Shooting %,3PAr_player Shooting %, ,FG_League Shooting %,2P_League Shooting %,3P_League Shooting %,eFG_League Shooting %,FT_League Shooting %,TS_League Shooting %,FTr_League Shooting %,3PAr_League Shooting %, ,FG+_League-Adjusted,2P+_League-Adjusted,3P+_League-Adjusted,eFG+_League-Adjusted,FT+_League-Adjusted,TS+_League-Adjusted,FTr+_League-Adjusted,3PAr+_League-Adjusted, ,FG Add,TS Add,Player_link
2009-10,24,POR,NBA,PF,78,2922,,.495,.498,.312,.497,.757,.535,.260,.014,,.461,.492,.355,.501,.759,.543,.300,.222,,107,101,88,99,100,98,87,6,,-7.7,-21.7,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,81,3211,,.500,.505,.174,.501,.790,.549,.314,.016,,.459,.487,.358,.498,.763,.541,.300,.222,,109,104,49,101,104,101,105,7,,7.6,25.3,https://www.basketball-reference.com/players/a/aldrila01.html
2011-12,26,POR,NBA,PF,55,1994,,.512,.516,.182,.513,.814,.560,.291,.012,,.448,.477,.349,.487,.752,.527,.276,.226,,114,108,52,105,108,106,105,5,,49.0,69.8,https://www.basketball-reference.com/players/a/aldrila01.html
2012-13,27,POR,NBA,PF,74,2790,,.484,.488,.143,.485,.810,.530,.264,.011,,.453,.483,.359,.496,.753,.535,.271,.243,,107,101,40,98,108,99,98,4,,-30.6,-13.0,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,69,2498,,.458,.461,.200,.459,.822,.507,.253,.011,,.454,.488,.360,.501,.756,.541,.284,.260,,101,95,56,92,109,94,89,4,,-119.1,-107.7,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,71,2512,,.466,.475,.352,.479,.845,.527,.256,.074,,.449,.485,.350,.496,.750,.534,.273,.268,,104,98,101,97,113,99,94,28,,-48.3,-20.9,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,74,2261,,.513,.521,.000,.513,.858,.565,.289,.015,,.452,.491,.354,.502,.757,.541,.276,.285,,113,106,,102,113,104,105,5,,21.8,56.0,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,72,2335,,.477,.480,.411,.488,.812,.532,.258,.053,,.457,.503,.357,.514,.772,.552,.271,.316,,104,95,115,95,105,96,95,17,,-54.7,-47.6,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,75,2509,,.510,.526,.293,.520,.837,.570,.296,.068,,.460,.510,.362,.521,.767,.556,.252,.337,,111,103,81,100,109,102,118,20,,-3.1,41.5,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,81,2687,,.519,.528,.238,.522,.847,.576,.312,.032,,.461,.519,.355,.524,.766,.560,.259,.359,,113,102,67,100,111,103,121,9,,-4.8,47.9,https://www.basketball-reference.com/players/a/aldrila01.html
