Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2014-15,31,TOT,NBA,PF,21,0,6.0,0.4,1.7,.257,0.0,0.2,.000,0.4,1.4,.300,.257,0.3,0.6,.500,0.8,1.0,1.8,0.2,0.2,0.1,0.1,0.8,1.1,https://www.basketball-reference.com/players/r/randosh01.html
2014-15,31,PHO,NBA,PF,16,0,6.3,0.4,1.6,.240,0.0,0.3,.000,0.4,1.3,.286,.240,0.3,0.6,.500,0.8,0.9,1.6,0.2,0.3,0.1,0.1,0.8,1.1,https://www.basketball-reference.com/players/r/randosh01.html
2014-15,31,BOS,NBA,PF,5,0,5.0,0.6,2.0,.300,0.0,0.2,.000,0.6,1.8,.333,.300,0.2,0.4,.500,0.8,1.6,2.4,0.2,0.2,0.2,0.2,0.6,1.4,https://www.basketball-reference.com/players/r/randosh01.html
2017-18,23,MEM,NBA,SG,5,0,23.6,2.4,8.4,.286,0.2,2.8,.071,2.2,5.6,.393,.298,0.8,1.8,.444,0.0,1.0,1.0,3.6,1.2,0.6,2.2,3.6,5.8,https://www.basketball-reference.com/players/r/rathaxa01.html
2010-11,24,NYK,NBA,SG,5,0,4.8,0.6,1.4,.429,0.2,0.8,.250,0.4,0.6,.667,.500,0.2,0.4,.500,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6,https://www.basketball-reference.com/players/r/rautian01.html
2006-07,22,BOS,NBA,SG,47,5,15.1,2.1,5.5,.386,1.0,2.5,.414,1.1,3.0,.364,.479,0.9,1.2,.764,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2,https://www.basketball-reference.com/players/r/rayal01.html
2019-20,22,DAL,NBA,SF,4,0,7.0,0.8,2.3,.333,0.0,0.5,.000,0.8,1.8,.429,.333,0.5,0.5,1.000,0.3,0.5,0.8,0.8,0.0,0.0,0.0,1.3,2.0,https://www.basketball-reference.com/players/r/reavejo02.html
2019-20,20,ATL,NBA,SF,58,34,26.7,3.7,9.6,.384,1.4,4.3,.332,2.2,5.2,.428,.459,1.7,2.2,.802,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,10.5,https://www.basketball-reference.com/players/r/reddica01.html
2006-07,22,ORL,NBA,PG,42,0,14.8,1.9,4.6,.410,0.9,2.3,.388,1.0,2.3,.433,.508,1.3,1.4,.900,0.2,1.0,1.2,0.9,0.3,0.0,0.5,1.2,6.0,https://www.basketball-reference.com/players/r/redicjj01.html
2007-08,23,ORL,NBA,SG,34,0,8.1,1.4,3.2,.444,0.5,1.3,.395,0.9,1.9,.477,.523,0.8,1.0,.794,0.0,0.6,0.7,0.5,0.1,0.0,0.4,0.9,4.1,https://www.basketball-reference.com/players/r/redicjj01.html
2008-09,24,ORL,NBA,SG,64,5,17.4,1.8,4.7,.391,1.0,2.8,.374,0.8,1.9,.417,.503,1.3,1.5,.871,0.1,1.6,1.7,1.1,0.3,0.0,0.8,1.1,6.0,https://www.basketball-reference.com/players/r/redicjj01.html
2009-10,25,ORL,NBA,SG,82,9,22.0,3.0,6.7,.439,1.4,3.3,.405,1.6,3.4,.473,.540,2.3,2.7,.860,0.2,1.7,1.9,1.9,0.3,0.0,0.8,1.4,9.6,https://www.basketball-reference.com/players/r/redicjj01.html
2010-11,26,ORL,NBA,SG,59,5,25.6,3.3,7.6,.441,1.5,3.7,.397,1.9,3.9,.482,.538,1.9,2.2,.875,0.1,1.8,1.9,1.7,0.5,0.1,0.9,1.4,10.1,https://www.basketball-reference.com/players/r/redicjj01.html
2011-12,27,ORL,NBA,SG,65,22,27.2,3.8,9.0,.425,1.7,4.1,.418,2.1,4.9,.430,.521,2.2,2.4,.911,0.3,2.0,2.3,2.5,0.4,0.1,1.0,1.4,11.6,https://www.basketball-reference.com/players/r/redicjj01.html
2012-13,28,TOT,NBA,SG,78,13,30.5,4.9,11.3,.434,2.1,5.8,.366,2.8,5.5,.506,.528,2.2,2.4,.900,0.2,2.0,2.2,3.8,0.5,0.1,1.8,1.5,14.1,https://www.basketball-reference.com/players/r/redicjj01.html
2012-13,28,ORL,NBA,SG,50,11,31.5,5.2,11.6,.450,2.3,6.0,.390,2.9,5.6,.514,.551,2.3,2.6,.891,0.2,2.2,2.4,4.4,0.6,0.1,2.1,1.4,15.1,https://www.basketball-reference.com/players/r/redicjj01.html
