Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2010-11,22,DAL,NBA,C,10,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,,0.0,0.1,0.1,.084,,-3.4,0.5,-2.9,0.0,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOR,NBA,C,24,265,12.0,.530,.267,.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,,0.0,0.2,0.2,.042,,-3.8,-0.2,-4.1,-0.1,https://www.basketball-reference.com/players/a/ajincal01.html
2013-14,25,NOP,NBA,C,56,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,,1.2,0.9,2.1,.104,,-2.7,0.1,-2.6,-0.1,https://www.basketball-reference.com/players/a/ajincal01.html
2014-15,26,NOP,NBA,C,68,957,19.9,.595,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,.159,,-0.7,0.4,-0.3,0.4,https://www.basketball-reference.com/players/a/ajincal01.html
2015-16,27,NOP,NBA,C,59,861,13.8,.514,.003,.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,,0.2,0.9,1.0,.058,,-3.4,-0.6,-4.0,-0.4,https://www.basketball-reference.com/players/a/ajincal01.html
2016-17,28,NOP,NBA,C,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,,0.0,0.9,1.0,.080,,-4.0,0.7,-3.3,-0.2,https://www.basketball-reference.com/players/a/ajincal01.html
2012-13,26,DAL,NBA,PG,3,9,15.3,.625,.500,.000,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,,0.0,0.0,0.0,.196,,-3.1,0.1,-3.0,0.0,https://www.basketball-reference.com/players/a/akognjo01.html
2018-19,25,DEN,NBA,SG,7,22,8.2,.322,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,,-0.1,0.0,0.0,-0.051,,-7.9,2.1,-5.8,0.0,https://www.basketball-reference.com/players/a/akoonde01.html
2010-11,22,TOR,NBA,C,12,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0.0,-0.2,-0.142,,-6.0,-2.9,-8.9,-0.1,https://www.basketball-reference.com/players/a/alabiso01.html
2011-12,23,TOR,NBA,C,14,122,14.2,.418,.000,.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,,0.0,0.2,0.2,.083,,-2.9,0.7,-2.2,0.0,https://www.basketball-reference.com/players/a/alabiso01.html
