Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2014-15,23,PHI,NBA,PF,41,540,.513,5.9,,.936,.628,.167,.013,.128,.064,,.548,.694,.154,1.000,.300,.000,,.450,,,.128,10,,.000,,,0,0,https://www.basketball-reference.com/players/a/aldemfu01.html
2010-11,22,OKC,NBA,C,18,142,.533,3.8,,1.000,.400,.600,.000,.000,.000,,.533,1.000,.222,,,,,.375,,,.333,5,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2011-12,23,OKC,NBA,C,26,173,.524,3.6,,1.000,.548,.429,.024,.000,.000,,.524,.696,.333,.000,,,,.773,,,.333,13,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,TOT,NBA,C,45,388,.550,3.7,,1.000,.550,.438,.013,.000,.000,,.550,.682,.371,1.000,,,,.636,,,.250,16,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,HOU,NBA,C,30,213,.535,4.2,,1.000,.512,.465,.023,.000,.000,,.535,.636,.400,1.000,,,,.783,,,.256,8,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,SAC,NBA,C,15,175,.568,3.0,,1.000,.595,.405,.000,.000,.000,,.568,.727,.333,,,,,.476,,,.243,8,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2013-14,25,NYK,NBA,C,46,330,.541,3.4,,1.000,.492,.508,.000,.000,.000,,.541,.633,.452,,,,,.545,,,.131,7,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2014-15,26,NYK,NBA,C,61,976,.478,4.7,,1.000,.349,.571,.060,.007,.000,,.478,.695,.366,.333,.000,,,.653,,,.093,26,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,60,800,.596,2.8,,1.000,.560,.427,.013,.000,.000,,.596,.667,.521,.000,,,,.776,,,.093,17,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2016-17,28,MIN,NBA,C,62,531,.523,3.0,,1.000,.581,.407,.012,.000,.000,,.523,.640,.371,.000,,,,.733,,,.128,11,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2017-18,29,MIN,NBA,C,21,49,.333,3.2,,1.000,.533,.467,.000,.000,.000,,.333,.250,.429,,,,,.800,,,.067,1,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2006-07,21,POR,NBA,C,63,1392,.503,9.3,,.996,.367,.129,.194,.305,.004,,.505,.710,.484,.312,.390,.000,,.680,,,.121,52,,.000,,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2007-08,22,POR,NBA,PF,76,2649,.484,10.9,,.994,.197,.272,.218,.308,.006,,.486,.693,.463,.443,.403,.143,,.645,1.000,,.079,86,,.143,.000,,2,0,https://www.basketball-reference.com/players/a/aldrila01.html
2008-09,23,POR,NBA,PF,81,3004,.484,11.0,,.977,.245,.211,.179,.343,.023,,.489,.671,.450,.422,.418,.250,,.567,1.000,,.098,108,,.643,.389,,3,0,https://www.basketball-reference.com/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,78,2922,.495,10.8,,.986,.247,.215,.210,.314,.014,,.498,.716,.442,.431,.409,.313,,.570,1.000,,.078,87,,.375,.667,,3,0,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,81,3211,.500,9.3,,.984,.320,.271,.155,.238,.016,,.505,.704,.397,.402,.427,.174,,.546,.750,,.117,148,,.217,.000,,4,0,https://www.basketball-reference.com/players/a/aldrila01.html
2011-12,26,POR,NBA,PF,55,1994,.512,10.6,,.988,.281,.182,.205,.320,.012,,.516,.687,.523,.404,.434,.182,,.536,.500,,.062,54,,.364,.000,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2012-13,27,POR,NBA,PF,74,2790,.484,11.7,,.989,.215,.192,.197,.385,.011,,.488,.694,.447,.438,.418,.143,,.542,.500,,.047,56,,.286,.250,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,69,2498,.458,12.5,,.989,.186,.162,.226,.415,.011,,.461,.675,.364,.388,.442,.200,,.599,.667,,.027,36,,.067,.000,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,71,2512,.466,12.8,,.926,.192,.164,.206,.365,.074,,.475,.701,.448,.392,.415,.352,,.468,.919,,.020,27,,.295,.355,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,74,2261,.513,10.0,,.985,.279,.191,.211,.303,.015,,.521,.733,.465,.427,.426,.000,,.660,,,.047,47,,.500,.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,72,2335,.477,11.8,,.947,.222,.194,.202,.328,.053,,.480,.700,.422,.387,.424,.411,,.577,.957,,.041,37,,.411,.435,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,75,2509,.510,9.8,,.932,.275,.212,.256,.189,.068,,.526,.735,.446,.438,.431,.293,,.502,.963,,.036,46,,.163,.467,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,81,2687,.519,9.7,,.968,.270,.246,.252,.201,.032,,.528,.716,.485,.437,.442,.238,,.588,.900,,.042,51,,.095,.250,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2019-20,34,SAS,NBA,C,53,1754,.493,13.7,,.802,.202,.129,.227,.245,.198,,.519,.719,.471,.461,.433,.389,,.567,.951,,.044,31,,.185,.379,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,20,POR,NBA,PF,8,36,.500,7.4,,1.000,.400,.300,.100,.200,.000,,.500,1.000,.000,.000,.500,,,.400,,,.200,2,,,,,0,0,https://www.basketball-reference.com/players/a/alexacl01.html
2008-09,22,MIL,NBA,SF,59,716,.416,12.2,,.812,.302,.094,.180,.237,.188,,.432,.622,.217,.341,.345,.348,,.709,.938,,.061,14,,.370,.353,,0,0,https://www.basketball-reference.com/players/a/alexajo01.html
2009-10,23,CHI,NBA,SF,8,29,.167,9.2,,.833,.500,.000,.167,.167,.167,,.200,.333,,.000,.000,.000,,.000,,,.000,0,,1.000,.000,,0,0,https://www.basketball-reference.com/players/a/alexajo01.html
2019-20,23,MIA,NBA,C,2,13,.500,1.5,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,.000,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/alexaky01.html
2019-20,21,NOP,NBA,SG,47,591,.368,15.9,,.500,.244,.173,.053,.030,.500,,.391,.523,.261,.214,.375,.346,,.192,.913,,.008,2,,.188,.360,,4,0,https://www.basketball-reference.com/players/a/alexani01.html
2018-19,21,CHI,NBA,SG,10,120,.333,10.1,,.692,.385,.282,.026,.000,.308,,.370,.533,.182,.000,,.250,,.700,1.000,,.026,1,,.333,.500,,0,0,https://www.basketball-reference.com/players/a/alkinra01.html
2018-19,23,UTA,NBA,SG,38,416,.376,17.5,,.444,.157,.140,.079,.067,.556,,.443,.571,.360,.286,.500,.323,,.400,.938,,.045,6,,.303,.400,,1,0,https://www.basketball-reference.com/players/a/allengr01.html
2019-20,24,MEM,NBA,SG,38,718,.466,16.9,,.438,.151,.179,.104,.004,.562,,.545,.711,.444,.500,.000,.404,,.600,.982,,.044,10,,.255,.556,,0,0,https://www.basketball-reference.com/players/a/allengr01.html
2017-18,19,BRK,NBA,C,72,1441,.589,3.7,,.962,.668,.232,.038,.023,.038,,.599,.698,.380,.333,.333,.333,,.843,1.000,,.353,117,,.867,.385,,2,1,https://www.basketball-reference.com/players/a/allenja01.html
