Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2016-17,28,HOU,NBA,PF,11,336,8.5,.520,.652,.174,4.9,13.2,9.2,3.1,0.6,0.5,8.3,14.1,,0.1,0.3,0.4,.058,,-0.8,-2.0,-2.7,-0.1,https://www.basketball-reference.com/players/a/anderry01.html
2017-18,29,HOU,NBA,PF,11,95,7.0,.475,.750,.000,4.6,10.6,7.6,9.0,1.6,0.9,13.0,10.8,,0.0,0.1,0.1,.049,,-2.3,0.1,-2.2,0.0,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,20,MIL,NBA,SG,6,201,10.9,.425,.014,.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,,-0.2,0.2,0.0,-0.003,,-2.6,0.3,-2.3,0.0,https://www.basketball-reference.com/players/a/antetgi01.html
2016-17,22,MIL,NBA,SF,6,243,21.9,.563,.089,.411,4.6,25.1,14.1,20.6,2.8,4.0,13.1,29.9,,0.1,0.6,0.7,.138,,3.8,2.8,6.6,0.5,https://www.basketball-reference.com/players/a/antetgi01.html
2017-18,23,MIL,NBA,PF,7,280,26.6,.620,.116,.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,,1.0,0.4,1.4,.239,,5.6,1.4,7.1,0.6,https://www.basketball-reference.com/players/a/antetgi01.html
2018-19,24,MIL,NBA,PF,15,514,26.5,.570,.210,.641,7.5,27.7,17.9,25.1,1.6,5.3,13.0,32.2,,1.1,1.3,2.3,.219,,5.0,3.3,8.4,1.4,https://www.basketball-reference.com/players/a/antetgi01.html
2019-20,25,MIL,NBA,PF,9,277,31.3,.610,.248,.503,10.3,38.2,24.0,36.7,1.0,3.1,13.2,35.2,,0.9,0.5,1.4,.238,,7.8,3.5,11.2,0.9,https://www.basketball-reference.com/players/a/antetgi01.html
2003-04,19,DEN,NBA,SF,4,143,9.8,.412,.172,.313,5.2,23.0,13.3,12.2,1.8,0.0,18.9,27.7,,-0.3,0.1,-0.2,-0.060,,-3.3,-1.5,-4.8,-0.1,https://www.basketball-reference.com/players/a/anthoca01.html
2004-05,20,DEN,NBA,SF,5,180,14.4,.494,.012,.386,8.6,8.9,8.8,11.7,0.9,0.5,11.8,28.5,,0.0,0.1,0.1,.018,,1.4,-1.9,-0.5,0.1,https://www.basketball-reference.com/players/a/anthoca01.html
2005-06,21,DEN,NBA,SF,5,193,10.7,.431,.040,.525,6.2,14.4,9.7,14.3,1.1,0.4,11.0,31.2,,-0.3,0.3,0.0,-0.009,,-0.1,-1.4,-1.5,0.0,https://www.basketball-reference.com/players/a/anthoca01.html
2006-07,22,DEN,NBA,SF,5,210,22.1,.582,.184,.398,10.0,13.5,11.8,6.0,1.3,0.0,14.2,29.5,,0.5,0.1,0.6,.144,,5.8,-0.6,5.2,0.4,https://www.basketball-reference.com/players/a/anthoca01.html
2007-08,23,DEN,NBA,SF,4,146,14.9,.447,.091,.330,13.1,14.4,13.7,9.7,0.7,0.5,10.6,32.0,,0.0,-0.1,-0.1,-0.018,,0.8,-3.4,-2.6,0.0,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,24,DEN,NBA,SF,16,612,24.3,.564,.205,.447,5.0,13.3,9.1,19.8,2.4,1.4,8.8,31.5,,1.9,0.6,2.6,.201,,4.5,0.5,5.0,1.1,https://www.basketball-reference.com/players/a/anthoca01.html
2009-10,25,DEN,NBA,SF,6,254,23.3,.564,.138,.413,6.6,18.3,12.3,15.0,2.4,1.0,11.4,32.1,,0.6,0.1,0.7,.132,,4.0,-0.9,3.1,0.3,https://www.basketball-reference.com/players/a/anthoca01.html
2010-11,26,NYK,NBA,SF,4,156,22.5,.505,.295,.386,8.5,23.0,14.9,26.8,1.7,1.4,11.2,32.7,,0.3,0.2,0.5,.149,,6.1,0.5,6.6,0.3,https://www.basketball-reference.com/players/a/anthoca01.html
2011-12,27,NYK,NBA,SF,5,204,21.5,.489,.145,.331,7.4,17.4,12.2,14.1,1.6,0.5,9.0,36.2,,0.3,0.0,0.4,.091,,4.8,-0.1,4.7,0.3,https://www.basketball-reference.com/players/a/anthoca01.html
2012-13,28,NYK,NBA,PF,12,481,20.4,.497,.184,.281,2.5,18.2,9.7,9.3,1.5,0.4,8.2,38.0,,0.4,0.8,1.1,.114,,4.1,-1.2,2.9,0.6,https://www.basketball-reference.com/players/a/anthoca01.html
2017-18,33,OKC,NBA,PF,6,194,9.7,.452,.389,.208,1.7,16.7,9.3,1.6,2.5,1.9,7.1,19.1,,-0.2,0.3,0.1,.018,,-2.0,-0.1,-2.2,0.0,https://www.basketball-reference.com/players/a/anthoca01.html
2019-20,35,POR,NBA,PF,5,176,8.4,.512,.279,.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,,-0.2,0.1,-0.1,-0.021,,-2.3,-0.7,-3.0,0.0,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,26,MIA,NBA,C,6,88,13.6,.850,.000,.400,14.0,13.4,13.6,3.7,0.0,6.9,14.5,4.0,,0.2,0.1,0.3,.181,,-0.1,2.8,2.6,0.1,https://www.basketball-reference.com/players/a/anthojo01.html
