Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player_link
2019-20,26,BRK,NBA,SG,3,0,28,8.3,19.9,.417,8.3,18.2,.455,0.0,1.7,.000,6.6,6.6,1.000,0.0,13.3,13.3,5.0,0.0,1.7,3.3,3.3,31.5,,121,120,https://www.basketball-reference.com/players/a/anderju01.html
2015-16,22,SAS,NBA,SF,10,0,129,3.2,10.1,.320,0.4,1.2,.333,2.8,8.9,.318,2.4,2.8,.857,0.8,8.9,9.7,2.8,2.4,1.2,1.6,4.5,9.3,,87,99,https://www.basketball-reference.com/players/a/anderky01.html
2016-17,23,SAS,NBA,SF,15,1,195,9.5,16.9,.563,0.8,2.6,.300,8.7,14.3,.611,2.1,2.9,.727,3.2,9.0,12.1,6.6,2.6,0.5,1.8,2.1,21.9,,128,110,https://www.basketball-reference.com/players/a/anderky01.html
2017-18,24,SAS,NBA,SF,5,1,73,8.5,14.1,.600,0.0,2.8,.000,8.5,11.3,.750,2.1,2.8,.750,3.5,5.6,9.2,2.1,4.2,0.7,2.1,7.0,19.0,,117,108,https://www.basketball-reference.com/players/a/anderky01.html
2009-10,21,ORL,NBA,PF,9,0,89,5.6,18.1,.310,2.5,8.7,.286,3.1,9.4,.333,0.6,0.6,1.000,5.0,14.3,19.3,1.9,1.2,1.2,3.1,7.5,14.3,,86,97,https://www.basketball-reference.com/players/a/anderry01.html
2010-11,22,ORL,NBA,PF,6,0,147,3.0,11.3,.267,2.3,7.5,.300,0.8,3.8,.200,2.3,2.3,1.000,3.8,6.4,10.2,1.1,1.9,0.4,0.4,6.0,10.6,,109,101,https://www.basketball-reference.com/players/a/anderry01.html
2011-12,23,ORL,NBA,PF,5,5,172,4.8,14.2,.341,3.9,9.7,.400,1.0,4.5,.214,1.9,2.3,.857,2.9,4.5,7.4,1.3,1.0,0.6,2.9,7.1,15.5,,95,110,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,26,NOP,NBA,PF,4,0,95,8.8,19.8,.444,2.7,6.6,.417,6.0,13.2,.458,3.3,3.3,1.000,3.8,5.5,9.3,4.9,0.0,1.1,2.2,6.6,23.6,,116,120,https://www.basketball-reference.com/players/a/anderry01.html
2016-17,28,HOU,NBA,PF,11,9,336,5.3,13.6,.391,2.5,8.9,.283,2.8,4.7,.594,2.1,2.4,.875,2.2,6.2,8.4,1.0,0.6,0.3,1.3,3.6,15.3,,107,113,https://www.basketball-reference.com/players/a/anderry01.html
2017-18,29,HOU,NBA,PF,11,0,95,3.7,10.6,.350,2.6,7.9,.333,1.1,2.6,.400,0.0,0.0,,2.1,4.8,6.9,3.2,1.6,0.5,1.6,5.3,10.0,,102,110,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,20,MIL,NBA,SG,6,6,201,6.7,18.2,.366,0.0,0.3,.000,6.7,17.9,.371,4.4,5.9,.739,3.1,7.7,10.8,4.1,0.8,2.3,2.8,4.6,17.7,,89,106,https://www.basketball-reference.com/players/a/antetgi01.html
2016-17,22,MIL,NBA,SF,6,6,243,13.1,24.5,.536,0.9,2.2,.400,12.2,22.3,.549,5.5,10.0,.543,2.2,10.3,12.4,5.2,2.8,2.2,4.4,4.6,32.5,,104,98,https://www.basketball-reference.com/players/a/antetgi01.html
2017-18,23,MIL,NBA,PF,7,7,280,12.8,22.5,.570,0.7,2.6,.286,12.1,19.9,.607,7.1,10.2,.691,1.5,11.0,12.4,8.2,1.9,1.1,3.2,5.2,33.4,,122,106,https://www.basketball-reference.com/players/a/antetgi01.html
2018-19,24,MIL,NBA,PF,15,15,514,12.0,24.4,.492,1.7,5.1,.327,10.4,19.3,.536,10.0,15.7,.637,3.5,13.7,17.2,6.8,1.6,2.8,4.7,4.5,35.7,,111,97,https://www.basketball-reference.com/players/a/antetgi01.html
2019-20,25,MIL,NBA,PF,9,9,277,15.6,27.8,.559,2.2,6.9,.325,13.3,20.9,.636,8.1,14.0,.580,4.7,16.8,21.4,8.8,1.0,1.4,5.2,5.4,41.5,,117,104,https://www.basketball-reference.com/players/a/antetgi01.html
2003-04,19,DEN,NBA,SF,4,4,143,7.7,23.5,.328,0.7,4.0,.182,7.0,19.5,.358,5.9,7.3,.800,2.6,9.6,12.1,4.0,1.8,0.0,6.2,4.0,22.0,,81,102,https://www.basketball-reference.com/players/a/anthoca01.html
2004-05,20,DEN,NBA,SF,5,5,180,10.3,24.4,.422,0.0,0.3,.000,10.3,24.1,.427,7.6,9.4,.813,4.1,3.8,7.9,2.9,0.9,0.3,3.8,5.9,28.2,,99,112,https://www.basketball-reference.com/players/a/anthoca01.html
2005-06,21,DEN,NBA,SF,5,5,193,8.9,26.8,.333,0.0,1.1,.000,8.9,25.7,.347,10.5,14.1,.750,3.2,5.7,8.9,3.8,1.1,0.3,4.1,5.4,28.4,,91,105,https://www.basketball-reference.com/players/a/anthoca01.html
2006-07,22,DEN,NBA,SF,5,5,210,12.3,25.6,.480,2.3,4.7,.500,9.9,20.9,.475,8.1,10.2,.795,4.7,6.5,11.2,1.6,1.3,0.0,5.0,3.1,35.0,,111,109,https://www.basketball-reference.com/players/a/anthoca01.html
2007-08,23,DEN,NBA,SF,4,4,146,10.8,29.7,.364,0.7,2.7,.250,10.1,27.0,.375,8.1,9.8,.828,6.4,6.4,12.8,2.7,0.7,0.3,4.1,5.7,30.4,,99,120,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,24,DEN,NBA,SF,16,16,612,12.4,27.3,.453,2.0,5.6,.364,10.4,21.7,.477,10.1,12.2,.826,2.2,5.7,7.9,5.5,2.4,0.8,3.1,5.1,36.9,,116,108,https://www.basketball-reference.com/players/a/anthoca01.html
2009-10,25,DEN,NBA,SF,6,6,254,12.6,27.2,.464,1.2,3.7,.316,11.4,23.4,.487,9.8,11.2,.877,2.8,7.3,10.0,3.9,2.4,0.6,4.1,5.1,36.2,,112,114,https://www.basketball-reference.com/players/a/anthoca01.html
2010-11,26,NYK,NBA,SF,4,4,156,11.1,29.5,.375,3.0,8.7,.346,8.1,20.8,.387,9.7,11.4,.853,4.4,9.4,13.8,6.4,1.7,1.0,4.4,5.4,34.9,,108,106,https://www.basketball-reference.com/players/a/anthoca01.html
2011-12,27,NYK,NBA,SF,5,5,204,14.1,33.6,.419,1.1,4.9,.222,13.0,28.7,.453,8.4,11.1,.756,3.5,7.6,11.1,3.0,1.6,0.3,3.8,5.7,37.6,,103,110,https://www.basketball-reference.com/players/a/anthoca01.html
2012-13,28,NYK,NBA,PF,12,12,481,14.5,35.7,.406,2.0,6.6,.298,12.6,29.1,.431,8.9,10.0,.885,1.3,7.8,9.1,2.2,1.5,0.2,3.6,5.3,39.9,,100,100,https://www.basketball-reference.com/players/a/anthoca01.html
2017-18,33,OKC,NBA,PF,6,6,194,6.8,18.2,.375,1.5,7.1,.214,5.3,11.1,.477,2.8,3.8,.733,0.8,7.8,8.6,0.5,2.5,1.0,1.5,3.5,18.0,,90,106,https://www.basketball-reference.com/players/a/anthoca01.html
2019-20,35,POR,NBA,PF,5,5,176,7.5,18.2,.412,2.1,5.1,.421,5.4,13.1,.408,3.2,3.7,.857,0.3,6.4,6.7,2.7,1.3,0.5,3.5,5.4,20.3,,94,115,https://www.basketball-reference.com/players/a/anthoca01.html
2008-09,26,MIA,NBA,C,6,2,88,2.6,3.3,.800,0.0,0.0,,2.6,3.3,.800,1.3,1.3,1.000,5.9,6.6,12.5,1.3,0.0,4.6,0.7,5.9,6.6,,172,106,https://www.basketball-reference.com/players/a/anthojo01.html
2009-10,27,MIA,NBA,C,5,0,79,3.3,4.7,.714,0.0,0.0,,3.3,4.7,.714,2.0,2.7,.750,4.0,2.0,6.0,0.7,1.3,3.3,0.7,6.0,8.7,,149,105,https://www.basketball-reference.com/players/a/anthojo01.html
2010-11,28,MIA,NBA,C,21,13,575,1.7,4.7,.367,0.0,0.0,,1.7,4.7,.367,2.1,3.0,.710,3.4,6.0,9.4,1.0,0.8,3.7,1.3,5.2,5.6,,105,104,https://www.basketball-reference.com/players/a/anthojo01.html
2011-12,29,MIA,NBA,C,17,1,329,2.8,4.8,.586,0.0,0.0,,2.8,4.8,.586,3.3,4.1,.800,3.6,5.5,9.1,0.3,0.8,2.7,1.3,6.8,8.9,,131,103,https://www.basketball-reference.com/players/a/anthojo01.html
2012-13,30,MIA,NBA,C,14,0,71,2.3,7.7,.300,0.0,0.0,,2.3,7.7,.300,0.0,0.0,,7.7,8.5,16.3,0.0,1.5,3.1,2.3,10.1,4.6,,87,100,https://www.basketball-reference.com/players/a/anthojo01.html
2016-17,34,SAS,NBA,C,3,0,15,10.3,13.7,.750,0.0,0.0,,10.3,13.7,.750,0.0,3.4,.000,6.9,6.9,13.7,0.0,0.0,6.9,3.4,6.9,20.6,,114,108,https://www.basketball-reference.com/players/a/anthojo01.html
2013-14,31,ATL,NBA,C,7,7,170,2.2,13.1,.167,0.9,7.8,.120,1.2,5.3,.235,1.6,2.5,.625,3.1,5.3,8.4,1.6,1.6,0.9,2.5,8.1,6.8,,59,104,https://www.basketball-reference.com/players/a/anticpe01.html
2014-15,32,ATL,NBA,C,15,1,199,4.1,12.9,.320,2.8,8.3,.344,1.3,4.6,.278,5.2,6.4,.800,2.3,8.8,11.1,1.0,0.5,0.8,1.3,9.8,16.2,,107,105,https://www.basketball-reference.com/players/a/anticpe01.html
2017-18,20,TOR,NBA,SF,10,10,238,6.2,11.1,.558,2.8,6.2,.448,3.4,4.9,.696,1.7,2.3,.727,1.9,2.6,4.5,1.5,1.3,0.9,1.3,4.9,16.8,,132,119,https://www.basketball-reference.com/players/a/anunoog01.html
