Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2019-20,26,OKC,NBA,C,7,7,210,5.3,8.9,.596,0.0,0.2,.000,5.3,8.7,.608,1.5,3.4,.450,5.8,8.1,13.9,1.5,0.7,0.3,2.7,1.7,12.2,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,5,0,77,3.3,7.0,.467,0.0,0.5,.000,3.3,6.5,.500,1.4,6.5,.214,4.2,5.1,9.4,0.0,0.0,0.9,0.9,3.7,7.9,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,19,19,687,6.5,11.5,.564,0.0,0.1,.000,6.5,11.5,.566,4.7,6.0,.783,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.0,17.7,https://www.basketball-reference.com/players/a/adebaba01.html
2007-08,22,DET,NBA,SG,12,0,84,3.0,7.7,.389,0.0,0.9,.000,3.0,6.9,.438,0.0,0.0,,0.0,2.1,2.1,2.6,1.7,0.0,0.4,2.1,6.0,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,4,0,66,5.5,11.5,.476,1.1,5.5,.200,4.4,6.0,.727,1.6,2.7,.600,0.5,1.1,1.6,0.5,0.0,1.1,1.6,4.9,13.6,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,6,6,120,6.0,9.6,.625,1.8,4.2,.429,4.2,5.4,.778,2.7,3.3,.818,0.3,3.3,3.6,2.1,0.3,0.6,1.2,6.3,16.5,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,3,3,85,5.1,14.4,.353,1.3,5.1,.250,3.8,9.3,.409,3.0,3.4,.875,0.0,3.8,3.8,3.0,0.0,0.0,1.3,4.2,14.4,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,7,7,229,4.7,11.6,.405,0.6,3.1,.200,4.1,8.5,.481,1.9,2.4,.800,0.8,3.1,3.9,3.0,0.8,0.3,1.4,2.2,11.9,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,3,3,60,1.2,7.2,.167,0.6,2.4,.250,0.6,4.8,.125,0.0,0.6,.000,0.0,4.2,4.2,1.2,0.0,0.0,1.8,3.6,3.0,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,3,0,24,7.5,13.5,.556,3.0,4.5,.667,4.5,9.0,.500,4.5,9.0,.500,1.5,3.0,4.5,0.0,0.0,0.0,0.0,4.5,22.5,https://www.basketball-reference.com/players/a/agerma01.html
2011-12,27,UTA,NBA,PG,3,0,8,9.0,13.5,.667,4.5,4.5,1.000,4.5,9.0,.500,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,22.5,https://www.basketball-reference.com/players/a/ahearbl01.html
2014-15,26,NOP,NBA,C,3,0,10,14.4,14.4,1.000,0.0,0.0,,14.4,14.4,1.000,0.0,0.0,,0.0,3.6,3.6,3.6,3.6,0.0,0.0,7.2,28.8,https://www.basketball-reference.com/players/a/ajincal01.html
2011-12,23,OKC,NBA,C,5,0,25,5.8,13.0,.444,0.0,0.0,,5.8,13.0,.444,2.9,5.8,.500,7.2,11.5,18.7,0.0,0.0,0.0,0.0,4.3,14.4,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,6,0,77,4.7,7.0,.667,0.0,0.0,,4.7,7.0,.667,1.4,2.8,.500,3.7,10.3,14.0,1.4,2.8,1.4,0.9,5.1,10.8,https://www.basketball-reference.com/players/a/aldrico01.html
