Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2017-18,28,MIA,NBA,SF,2,3,,,100%,,,-100.0,-91.0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/b/babbilu01.html
2016-17,20,MEM,NBA,PG,3,12,100%,,,,,-39.1,-30.9,0,0,1,0,1,0,4,0,1,https://www.basketball-reference.com/players/b/baldwwa01.html
2017-18,21,POR,NBA,PG,4,19,18%,82%,,,,+14.2,+26.4,2,1,1,0,0,0,6,0,1,https://www.basketball-reference.com/players/b/baldwwa01.html
2008-09,24,DEN,NBA,PF,8,20,,,,100%,,+29.1,+20.1,0,0,0,0,0,0,2,0,2,https://www.basketball-reference.com/players/b/balkmre01.html
2003-04,22,BOS,NBA,PG,4,60,100%,,,,,-17.9,+1.9,2,1,2,0,2,,16,0,2,https://www.basketball-reference.com/players/b/banksma01.html
2004-05,23,BOS,NBA,PG,7,106,100%,,,,,-9.3,-11.9,3,3,5,0,2,,14,0,2,https://www.basketball-reference.com/players/b/banksma01.html
2006-07,25,PHO,NBA,PG,2,7,100%,,,,,-20.5,-26.5,0,0,0,0,0,0,2,0,0,https://www.basketball-reference.com/players/b/banksma01.html
2004-05,22,PHO,NBA,PG,12,116,100%,,,,,-15.3,-23.5,4,1,1,0,2,,29,0,2,https://www.basketball-reference.com/players/b/barbole01.html
2005-06,23,PHO,NBA,SG,20,632,10%,89%,1%,,,-1.1,-9.0,8,11,24,3,21,4,133,5,14,https://www.basketball-reference.com/players/b/barbole01.html
2006-07,24,PHO,NBA,SG,11,349,31%,69%,,,,+2.1,-10.6,6,9,10,5,20,3,54,3,9,https://www.basketball-reference.com/players/b/barbole01.html
2007-08,25,PHO,NBA,SG,5,143,47%,53%,,,,-11.5,-21.0,1,1,1,2,5,2,21,2,3,https://www.basketball-reference.com/players/b/barbole01.html
